"hero","pick rate","winrate"
"Gloo","0.46%","56.34%"
"sun","1.79%","55.80%"
"Ling","0.29%","55.49%"
"Hanabi","4.50%","55.09%"
"Lolita","0.07%","55.08%"
"Minotaur","0.30%","55.03%"
"Argus","0.62%","54.99%"
"Marcel","0.10%","54.83%"
"Floryn","0.71%","54.63%"
"Belerick","1.89%","54.45%"
"Atlas","0.42%","54.44%"
"Benedetta","0.24%","54.25%"
"Gord","1.22%","54.08%"
"Rafaela","0.43%","54.07%"
"Estes","0.73%","53.85%"
"Valir","1.01%","53.51%"
"Khaleed","0.12%","53.41%"
"Hilda","0.82%","53.41%"
"Carmilla","0.36%","53.39%"
"Khufra","0.10%","53.35%"
"Akai","0.67%","53.28%"
"Natalia","0.33%","53.21%"
"YiSunshin","0.74%","53.19%"
"PopolAndKupa","0.29%","52.99%"
"Hanzo","0.34%","52.86%"
"Masha","0.05%","52.72%"
"Silvanna","1.56%","52.68%"
"Minsitthar","0.76%","52.48%"
"Bane","0.25%","52.32%"
"Kagura","0.37%","52.01%"
"Uranus","0.29%","52.00%"
"Yve","0.03%","51.90%"
"Leomord","0.28%","51.90%"
"Cyclops","0.76%","51.88%"
"Kadita","0.61%","51.64%"
"Edith","0.24%","51.60%"
"Fredrinn","0.44%","51.47%"
"Guinevere","0.77%","51.43%"
"Terizla","0.40%","51.41%"
"Irithel","0.53%","51.39%"
"vale","0.88%","51.36%"
"Zhask","0.57%","51.33%"
"Aamon","0.83%","51.29%"
"Zetian","1.15%","51.24%"
"Johnson","1.08%","51.12%"
"Baxia","0.11%","50.85%"
"XBorg","0.56%","50.76%"
"Alice","0.37%","50.75%"
"Ruby","0.39%","50.75%"
"ENE","2.60%","50.69%"
"Aulus","0.25%","50.68%"
"Suyou","0.69%","50.62%"
"Faramis","0.03%","50.62%"
"Paquito","1.36%","50.61%"
"LapuLapu","0.27%","50.53%"
"Lylia","0.56%","50.51%"
"Kaja","0.06%","50.49%"
"Miya","4.58%","50.31%"
"Change","0.95%","50.25%"
"Brody","0.22%","50.21%"
"Julian","1.24%","50.21%"
"Badang","0.80%","50.13%"
"Beatrix","0.37%","50.08%"
"Claude","0.47%","50.07%"
"Lunox","0.13%","50.00%"
"Melissa","0.83%","49.98%"
"Hylos","0.26%","49.92%"
"Diggie","0.10%","49.88%"
"Roger","0.47%","49.84%"
"Cici","0.38%","49.78%"
"Barats","0.17%","49.75%"
"Angela","1.45%","49.72%"
"Natan","0.24%","49.68%"
"Selena","0.77%","49.67%"
"Eudora","1.46%","49.65%"
"Aldous","0.49%","49.63%"
"Phoveus","0.28%","49.60%"
"Gusion","1.32%","49.58%"
"Lukas","0.22%","49.48%"
"Helcurt","1.26%","49.45%"
"Saber","1.60%","49.39%"
"Cecilion","0.62%","49.32%"
"Novaria","0.51%","49.09%"
"Thame","1.88%","49.06%"
"Alucard","0.63%","49.04%"
"Balmond","1.49%","49.01%"
"Obsidia","0.44%","48.96%"
"Karrie","0.54%","48.91%"
"Nana","2.57%","48.86%"
"Ixia","0.86%","48.76%"
"Sora","0.45%","48.60%"
"YuZhong","0.63%","48.58%"
"Yin","0.90%","48.53%"
"Layla","1.99%","48.53%"
"Hayabusa","0.56%","48.37%"
"Jawhead","0.52%","48.25%"
"LuoYi","0.18%","48.23%"
"Bruno","0.13%","48.20%"
"Odette","0.79%","48.19%"
"Zhuxin","0.13%","48.14%"
"Grock","0.37%","47.89%"
"Harley","1.23%","47.87%"
"Clint","0.47%","47.86%"
"Pharsa","0.62%","47.85%"
"Aurora","0.94%","47.84%"
"Tigreal","2.06%","47.73%"
"Gatotkaca","1.06%","47.61%"
"Kimmy","0.60%","47.60%"
"Lesle","1.89%","47.60%"
"Joy","0.08%","47.58%"
"Karina","0.59%","47.54%"
"Alpha","1.99%","47.52%"
"Xavier","0.38%","47.49%"
"Wanwan","0.11%","47.48%"
"Harith","0.15%","47.46%"
"Arlott","0.27%","47.45%"
"Freya","1.01%","47.35%"
"Dyrroth","3.21%","47.25%"
"Mathilda","0.07%","47.19%"
"Zilong","1.74%","47.01%"
"Nolan","0.15%","46.43%"
"Moskov","0.74%","46.33%"
"Chip","0.03%","46.32%"
"Chou","1.32%","46.10%"
"Martis","0.88%","45.98%"
"Lancelot","0.48%","45.91%"
"Esmeralda","0.26%","45.22%"
"Kalea","0.17%","44.72%"
"Fanny","0.42%","44.38%"
"Franco","1.53%","44.12%"
"Hirara","0.32%","44.04%"
"Valentina","0.04%","42.74%"
"Granger","1.24%","41.94%"
